,model_hidden_channels,model_num_layers,model_activation,model_num_iters,model_epsilon,model_normalization,model_use_dissipation,model_use_forcing,model_fix_resistance,model_in_channels,model_out_channels,data_path,model,model_instance,ckpt_path,epochs,verbose,early_stopping,conf_id,seed,m,distance,debug,root,parallelism,batch,ncpus,ngpus,mean_train_loss,std_train_loss,mean_val_loss,std_val_loss,mean_test_loss,std_test_loss
724,64,1,tanh,100,0.5,sym,False,True,False,1,1,/raid/a.trenta/SONAR/graph_transfer_task/data,sonar,<class 'models.sonar.SONAR_Model'>,/raid/a.trenta/SONAR/graph_transfer_task/results/line_50/sonar/ckpt/sonar_id181_seed100.pt,2000,True,100,sonar_181,100,sonar,50,False,/raid/a.trenta/SONAR/graph_transfer_task,9,512,5,0.3333333333333333,0.24636094074999998,0.34645624909867895,0.24336989675,0.33492197808523216,0.24336994675,0.3349219714622126
128,64,1,tanh,50,0.5,sym,True,True,True,1,1,/raid/a.trenta/SONAR/graph_transfer_task/data,sonar,<class 'models.sonar.SONAR_Model'>,/raid/a.trenta/SONAR/graph_transfer_task/results/line_50/sonar/ckpt/sonar_id32_seed200.pt,2000,True,100,sonar_32,200,sonar,50,False,/raid/a.trenta/SONAR/graph_transfer_task,9,512,5,0.3333333333333333,0.27332960125,0.47233017196055305,0.27713609775,0.4827483552302379,0.27715149775,0.482779148683335
168,64,1,tanh,50,0.5,rw,True,False,True,1,1,/raid/a.trenta/SONAR/graph_transfer_task/data,sonar,<class 'models.sonar.SONAR_Model'>,/raid/a.trenta/SONAR/graph_transfer_task/results/line_50/sonar/ckpt/sonar_id42_seed100.pt,2000,True,100,sonar_42,100,sonar,50,False,/raid/a.trenta/SONAR/graph_transfer_task,9,512,5,0.3333333333333333,0.3571416345,0.41180204171034307,0.32037303100000003,0.36918048007683435,0.32037788850000004,0.36918449185017704
591,64,1,tanh,100,1.0,,False,True,True,1,1,/raid/a.trenta/SONAR/graph_transfer_task/data,sonar,<class 'models.sonar.SONAR_Model'>,/raid/a.trenta/SONAR/graph_transfer_task/results/line_50/sonar/ckpt/sonar_id148_seed200.pt,2000,True,100,sonar_148,200,sonar,50,False,/raid/a.trenta/SONAR/graph_transfer_task,9,512,5,0.3333333333333333,0.52374610775,1.0018057885813376,0.38713876950000004,0.7292566996179356,0.3871389445,0.7292570496153058
108,64,1,tanh,50,0.5,,True,False,False,1,1,/raid/a.trenta/SONAR/graph_transfer_task/data,sonar,<class 'models.sonar.SONAR_Model'>,/raid/a.trenta/SONAR/graph_transfer_task/results/line_50/sonar/ckpt/sonar_id27_seed100.pt,2000,True,100,sonar_27,100,sonar,50,False,/raid/a.trenta/SONAR/graph_transfer_task,9,512,5,0.3333333333333333,0.43052878575000003,0.789941742834487,0.46519793375,0.8594250441667318,0.46518303375000003,0.8593952441667319
656,64,1,tanh,100,1.0,rw,False,True,True,1,1,/raid/a.trenta/SONAR/graph_transfer_task/data,sonar,<class 'models.sonar.SONAR_Model'>,/raid/a.trenta/SONAR/graph_transfer_task/results/line_50/sonar/ckpt/sonar_id164_seed100.pt,2000,True,100,sonar_164,100,sonar,50,False,/raid/a.trenta/SONAR/graph_transfer_task,9,512,5,0.3333333333333333,0.7482880165,0.9320696127100407,0.58508947525,0.7457106803286254,0.58508955525,0.7457105509007329
132,64,1,tanh,50,0.5,sym,True,True,False,1,1,/raid/a.trenta/SONAR/graph_transfer_task/data,sonar,<class 'models.sonar.SONAR_Model'>,/raid/a.trenta/SONAR/graph_transfer_task/results/line_50/sonar/ckpt/sonar_id33_seed100.pt,2000,True,100,sonar_33,100,sonar,50,False,/raid/a.trenta/SONAR/graph_transfer_task,9,512,5,0.3333333333333333,0.6222801987500001,1.0933214934219075,0.5912835814999999,1.0360277784822651,0.5912992064999999,1.036059006484861
692,64,1,tanh,100,0.5,,False,True,False,1,1,/raid/a.trenta/SONAR/graph_transfer_task/data,sonar,<class 'models.sonar.SONAR_Model'>,/raid/a.trenta/SONAR/graph_transfer_task/results/line_50/sonar/ckpt/sonar_id173_seed100.pt,2000,True,100,sonar_173,100,sonar,50,False,/raid/a.trenta/SONAR/graph_transfer_task,9,512,5,0.3333333333333333,0.62814956225,1.214891937505941,0.65715240075,1.2734526921874694,0.65724407575,1.2736360421261403
632,64,1,tanh,100,1.0,sym,False,False,True,1,1,/raid/a.trenta/SONAR/graph_transfer_task/data,sonar,<class 'models.sonar.SONAR_Model'>,/raid/a.trenta/SONAR/graph_transfer_task/results/line_50/sonar/ckpt/sonar_id158_seed100.pt,2000,True,100,sonar_158,100,sonar,50,False,/raid/a.trenta/SONAR/graph_transfer_task,9,512,5,0.3333333333333333,0.74339065725,1.1687767328093426,0.6588611767500001,0.9467206933536588,0.6588644717500001,0.9467209119970066
164,64,1,tanh,50,0.5,rw,True,True,False,1,1,/raid/a.trenta/SONAR/graph_transfer_task/data,sonar,<class 'models.sonar.SONAR_Model'>,/raid/a.trenta/SONAR/graph_transfer_task/results/line_50/sonar/ckpt/sonar_id41_seed100.pt,2000,True,100,sonar_41,100,sonar,50,False,/raid/a.trenta/SONAR/graph_transfer_task,9,512,5,0.3333333333333333,0.7086794345,0.785714956742837,0.6591363027499999,0.7339815581685667,0.65909942775,0.7339454596768867
660,64,1,tanh,100,1.0,rw,False,True,False,1,1,/raid/a.trenta/SONAR/graph_transfer_task/data,sonar,<class 'models.sonar.SONAR_Model'>,/raid/a.trenta/SONAR/graph_transfer_task/results/line_50/sonar/ckpt/sonar_id165_seed200.pt,2000,True,100,sonar_165,200,sonar,50,False,/raid/a.trenta/SONAR/graph_transfer_task,9,512,5,0.3333333333333333,0.7590158735000001,0.9129872166509643,0.66253297,0.7961565047801648,0.66253232,0.7961552337965379
171,64,1,tanh,50,0.5,rw,True,False,False,1,1,/raid/a.trenta/SONAR/graph_transfer_task/data,sonar,<class 'models.sonar.SONAR_Model'>,/raid/a.trenta/SONAR/graph_transfer_task/results/line_50/sonar/ckpt/sonar_id43_seed100.pt,2000,True,100,sonar_43,100,sonar,50,False,/raid/a.trenta/SONAR/graph_transfer_task,9,512,5,0.3333333333333333,0.69175079,0.6140385053094952,0.676552617,0.599065718072286,0.6766054370000001,0.599133887936515
